run,task,trajectory,success,length,revisit_fraction,invalid_fraction,conflict_fraction,future_abs
M10,3cf2908e-27cf-4332-a51c-c925ec2f3533,f8782a48-af36-408d-99a4-c63a722dba49,True,19,0.5263157894736842,0.0,0.5263157894736842,0.1649590789571392
M10,47194c79-1e5e-4750-ade7-ea7c7ec27ff6,19128954-8de4-4b9b-89ca-79e2bd1b89b9,True,49,0.42857142857142855,0.0,0.7551020408163265,0.17094805791026255
M10,47194c79-1e5e-4750-ade7-ea7c7ec27ff6,23e8158a-e3f3-40e2-bf7f-4cff86821e3b,False,50,0.64,0.0,0.4,0.14995385000759676
M10,47194c79-1e5e-4750-ade7-ea7c7ec27ff6,3b3a994f-7f37-41af-aacb-824750f0c80f,False,50,0.5,0.0,0.38,0.17442857999351752
M10,47194c79-1e5e-4750-ade7-ea7c7ec27ff6,570caa2c-6150-41f7-a753-8ecaa81ef695,False,50,0.42,0.02,0.42,0.25208700759694214
M10,47194c79-1e5e-4750-ade7-ea7c7ec27ff6,579d9afd-d42e-4b77-81e4-326a8b1a70ee,False,50,0.66,0.0,0.44,0.1499744632622953
M10,47194c79-1e5e-4750-ade7-ea7c7ec27ff6,58e3163a-358d-4f4e-ad04-3a1fc287b0c8,False,50,0.62,0.0,0.4,0.09589404235976014
M10,47194c79-1e5e-4750-ade7-ea7c7ec27ff6,7c7b7db9-e233-4c70-a054-55cdd911fcc2,True,17,0.29411764705882354,0.0,0.7058823529411765,0.3362896030059177
M10,47194c79-1e5e-4750-ade7-ea7c7ec27ff6,d864fa2c-9249-4d0e-b2c8-2233218c4846,False,50,0.56,0.0,0.46,0.1364407869580731
M10,7f0448af-9d68-4096-83d0-55fc5746213f,0c424e83-c011-4356-b831-c0bd9aeddac1,True,5,0.0,0.0,0.4,0.2913235349099275
M10,7f0448af-9d68-4096-83d0-55fc5746213f,168f3f6c-8657-4b85-a3e8-b186912e85f4,True,10,0.3,0.0,0.5,0.2996205331165332
M10,7f0448af-9d68-4096-83d0-55fc5746213f,2716fec8-f1f7-4c05-84e3-9163efe11116,True,24,0.5416666666666666,0.0,0.2916666666666667,0.24783802686684556
M10,7f0448af-9d68-4096-83d0-55fc5746213f,611ae576-fd39-481d-9430-99c26b34eae5,True,11,0.2727272727272727,0.0,0.5454545454545454,0.3061936179856181
M10,7f0448af-9d68-4096-83d0-55fc5746213f,78c90c96-7796-404b-b11b-afaa15eced9d,True,12,0.3333333333333333,0.0,0.5,0.31098317191437685
M10,7f0448af-9d68-4096-83d0-55fc5746213f,97213283-6cb7-4b08-b017-57626699f182,True,37,0.7567567567567568,0.0,0.2702702702702703,0.15596947683915524
M10,7f0448af-9d68-4096-83d0-55fc5746213f,b665967c-dd63-452a-8c70-fd67b5bbde13,True,7,0.2857142857142857,0.0,0.42857142857142855,0.19766575291430674
M10,7f0448af-9d68-4096-83d0-55fc5746213f,e8d84220-70c6-4d60-8183-d4c1fa499364,True,6,0.16666666666666666,0.0,0.5,0.33824162034856275
M10,816f4950-6997-40bc-8374-09fef22437de,009e2eba-5825-4711-bd7c-0743781e45d9,False,50,0.74,0.0,0.44,0.21751722015933928
M10,816f4950-6997-40bc-8374-09fef22437de,1edfcb04-586d-4125-98ce-ba1acf2d3fd3,False,50,0.72,0.0,0.52,0.2246437077083793
M10,816f4950-6997-40bc-8374-09fef22437de,64c75548-0127-462a-bfc0-f922721bdbac,True,40,0.6,0.0,0.55,0.21594221506130112
M10,816f4950-6997-40bc-8374-09fef22437de,6dfe8a17-da65-48f5-a9f5-1e258c034554,True,38,0.5526315789473685,0.0,0.5263157894736842,0.23544687684762255
M10,816f4950-6997-40bc-8374-09fef22437de,75f40e1b-b2f7-4a16-a946-0fe80754d670,False,50,0.74,0.0,0.4,0.14159104169214276
