run,position,rows,raw_abs,normalized_abs,history_applied_abs,future_applied_abs,future_absolute_mass
M10,terminal,128,2.10606441557768,1.956316794308978,0.6781875012514996,0.8355637207664373,0.17930025808197614
M10,1 step before terminal,128,0.5849628422687239,0.5315906132368983,0.525844438789087,0.22098155295576333,0.04741954262923256
M10,2-3 steps before,250,0.6927429721696238,0.5420300375739436,0.576896707058512,0.22445140077964698,0.09407055335455751
M10,4-7 steps before,399,0.6548054870936881,0.6435050203178915,0.6628019074775977,0.2629096682749397,0.17586152010636297
M10,8+ steps before,1705,0.519155259251386,0.5058272516343004,0.5614304738653266,0.17609730220885372,0.5033481258278707
M11,terminal,128,1.6947834752730113,1.181095904561583,1.4894660267332256,1.181095904561583,0.49479370215915164
M11,1 step before terminal,128,0.26960279637214163,0.17569846665739292,1.4367091351532508,0.17569846665739292,0.07360494134755921
M11,2-3 steps before,256,0.3687852226022913,0.23770212898067233,1.4109971150410274,0.23770212898067233,0.1991599766881193
M11,4-7 steps before,172,0.5955463090880754,0.3904905311877659,1.5881638914088823,0.3904905311877659,0.21982039514228036
M11,8+ steps before,7,1.0801703416835884,0.5508916237424025,0.9916498363018036,0.5508916237424025,0.012620984662889505
