run,variant,nonterminal_nonzero_rows,value_boot_sd,progress_boot_sd_nonterminal,sign_agreement_nonterminal_nonzero,weak_sign_rows_fraction,paired_progress_variance,independent_endpoint_variance
M10,context_k2,2436,0.6579998425510618,0.45255566230386063,0.7723069966133005,0.5320197044334976,0.34360528318638955,1.3223107213095953
M10,context_k4,2436,0.6370970277555703,0.3609819700772924,0.7669150567015599,0.5504926108374384,0.2132524966377903,1.1751755402652253
M10,context_full,2428,0.7350848025863697,0.6781533963957352,0.7782527414538715,0.5189456342668863,0.8392805053489968,1.909477941983634
M10,context_fixed05,2428,0.6322674305042558,0.34729332740128327,0.7756641268533773,0.5247116968698518,0.2174331725722922,1.1682187826791652
M11,context_k2,393,0.5326220743267863,0.21327706234734214,0.9182122694020356,0.18575063613231552,0.14574250359947696,1.3704777395661931
M11,context_k4,393,0.5598244016328044,0.1832847438700107,0.9142861402671756,0.2035623409669211,0.10400618928373732,1.4148770393377657
M11,context_full,387,0.503131560491971,0.3094843087693987,0.9315447351421189,0.16795865633074936,0.36664505764113275,1.6731769359577116
M11,context_fixed05,387,0.5471910749880229,0.191483727150051,0.9136839874031008,0.20930232558139536,0.12767856608540792,1.379110449226225
