run,weight,changed_sign_vs_history,negative_success_nonterminal,positive_failure_nonterminal,future_to_history_abs
M10,0.0,0.0,0.3297720797720798,0.0,0.0
M10,0.25,0.015708812260536397,0.3525641025641026,0.006493506493506494,0.09810574198007671
M10,0.5,0.04291187739463601,0.3660968660968661,0.03339517625231911,0.19621148396015342
M10,1.0,0.0946360153256705,0.396011396011396,0.10111317254174397,0.39242296792030684
M11,0.0,0.0,0.294478527607362,0.12658227848101267,0.0
M11,0.25,0.03328509406657019,0.3220858895705521,0.12658227848101267,0.07519210382963185
M11,0.5,0.06367583212735166,0.3803680981595092,0.12658227848101267,0.1503842076592637
M11,1.0,0.08393632416787265,0.40797546012269936,0.1308016877637131,0.3007684153185274
